claim_id,policy_id,claim_date,loss_date,claim_type,claim_amount,settlement_date,status,policyholder_region
sdv-id-efeMXm,sdv-id-MgQUDy,2022-05-28,2022-05-26,Liability,27250.93053561863,2022-08-17,Closed,East
sdv-id-WVYCnV,sdv-id-SAeNxT,2022-04-12,2022-04-09,Health,32681.720657290974,2022-04-13,Closed,East
sdv-id-bJEkUl,sdv-id-TLJXGQ,2022-03-07,2022-03-04,Health,12228.569140632255,2022-05-12,Closed,East
sdv-id-MLbsny,sdv-id-IMmyWY,2022-04-25,2022-04-23,Liability,18174.55667028501,2022-06-03,Closed,West
sdv-id-ubBKfC,sdv-id-oRdvMI,2022-04-15,2022-04-14,Auto,31896.797466382162,2022-07-19,Closed,North
sdv-id-QoXLFX,sdv-id-EZVqvC,2022-02-24,2022-02-23,Health,6448.4790796042325,2022-05-03,Closed,East
sdv-id-punJpy,sdv-id-qmiNXV,2022-03-11,2022-03-08,Liability,36439.603615261105,2022-06-07,Closed,West
sdv-id-UiFyTn,sdv-id-sPEMiD,2022-04-17,2022-04-15,Home,15448.816032449795,2022-06-22,Closed,South
sdv-id-fqpSkH,sdv-id-qsMfLw,2022-02-18,2022-02-16,Home,52445.853669380405,2022-05-02,Closed,North
sdv-id-Rqbjra,sdv-id-jcfQgG,2022-07-09,2022-07-07,Liability,39468.21318043358,2022-09-09,Closed,West
sdv-id-xPGMEH,sdv-id-EhdbRd,2022-02-14,2022-02-13,Auto,38270.45305066895,2022-03-09,Closed,South
sdv-id-NtuxNo,sdv-id-yhIQJs,2022-05-27,2022-05-26,Home,17893.70175081303,2022-06-22,Closed,South
sdv-id-mUtlri,sdv-id-zwdkvU,2022-01-18,2022-01-16,Health,10717.84929926841,2022-04-08,Closed,East
sdv-id-XILAeE,sdv-id-YZMuHx,2022-03-28,2022-03-26,Health,8118.943452697436,2022-03-29,Closed,East
sdv-id-iLcjyv,sdv-id-gCiHRc,2022-02-28,2022-02-25,Home,53186.34600282211,2022-03-08,Closed,South
sdv-id-mEabiK,sdv-id-tRexbW,2022-02-24,2022-02-21,Home,15146.036237195925,,Closed,North
sdv-id-GULHbR,sdv-id-jQjFZJ,2022-07-05,2022-07-02,Health,37378.80052527529,2022-08-05,Closed,East
sdv-id-hJlnAS,sdv-id-TAhMDe,2022-07-18,2022-07-13,Home,18116.3550705822,,Open,South
sdv-id-KBdwHL,sdv-id-sDfEPh,2022-04-15,2022-04-12,Auto,45037.843609459,,Open,North
sdv-id-lTjzvd,sdv-id-kujPwe,2022-03-07,2022-03-05,Health,52957.464680350095,,Closed,East
sdv-id-lBCHfU,sdv-id-ARJPvL,2022-07-04,2022-07-03,Auto,6332.933324651338,,Closed,North
sdv-id-eKNVAT,sdv-id-gEzPcV,2022-02-22,2022-02-19,Home,3545.1634877319448,2022-05-01,Closed,East
sdv-id-NgJVRj,sdv-id-Mhfkcf,2022-02-23,2022-02-22,Liability,33382.09352172457,2022-02-24,Closed,East
sdv-id-KbAVEg,sdv-id-CTyOLq,2022-06-28,2022-06-24,Liability,25963.04206043279,2022-06-29,Closed,West
sdv-id-bJFzze,sdv-id-qNCwqx,2022-04-28,2022-04-25,Liability,6660.40306158517,2022-06-13,Closed,West
sdv-id-bxqaHY,sdv-id-zmYTkY,2022-06-20,2022-06-17,Home,41813.91089241808,2022-07-23,Closed,East
sdv-id-IXADzA,sdv-id-PyVLqa,2022-06-11,2022-06-10,Health,37162.90394331327,2022-08-16,Closed,East
sdv-id-faRxUq,sdv-id-dZCuCT,2022-04-05,2022-04-03,Home,22847.632893237307,,Open,South
sdv-id-yOtUsW,sdv-id-fAqnjr,2022-02-26,2022-02-25,Auto,28863.168398938757,2022-08-08,Closed,North
sdv-id-eFYQGR,sdv-id-EjLvfQ,2022-06-04,2022-06-03,Auto,22215.702945343994,2022-09-12,Closed,North
sdv-id-zfBPkK,sdv-id-HBLXAI,2022-01-02,2022-01-01,Health,31952.28641635873,2022-03-06,Closed,South
sdv-id-PzXapk,sdv-id-uRFafq,2022-03-14,2022-03-12,Health,25668.68527387282,,Closed,West
sdv-id-IldFTf,sdv-id-nHXwWX,2022-04-30,2022-04-29,Health,48681.23776874061,2022-06-19,Closed,East
sdv-id-dIvCNm,sdv-id-ZIJRrj,2022-04-05,2022-04-03,Auto,46721.90034946013,2022-09-13,Closed,South
sdv-id-tQPjzp,sdv-id-Bjvzjx,2022-03-04,2022-03-03,Auto,20391.09940435885,2022-04-14,Closed,North
sdv-id-weeGwE,sdv-id-dpbqza,2022-02-28,2022-02-26,Health,370.5,,Open,South
sdv-id-kwMBiJ,sdv-id-bRsOZF,2022-05-26,2022-05-24,Health,43684.06829347556,,Closed,South
sdv-id-AyFUoz,sdv-id-jAyxqC,2022-01-30,2022-01-28,Home,2762.8293971665044,,Open,South
sdv-id-AZkUpT,sdv-id-trQVLn,2022-06-16,2022-06-14,Liability,370.5,2022-06-17,Closed,West
sdv-id-KQJxBt,sdv-id-mYbhNW,2022-05-26,2022-05-24,Auto,22128.750633767693,2022-07-16,Closed,North
sdv-id-puBzUV,sdv-id-rmIvnC,2022-02-23,2022-02-21,Auto,20577.800666899355,2022-05-25,Closed,North
sdv-id-ufUiKa,sdv-id-bchgXB,2022-07-14,2022-07-13,Home,17445.003730118646,2022-08-15,Closed,South
sdv-id-pGYjSn,sdv-id-PqNnoM,2022-05-02,2022-04-30,Home,26742.813092119683,,Closed,South
sdv-id-tvsQum,sdv-id-myOOKY,2022-05-22,2022-05-20,Liability,28864.778262935728,2022-05-23,Closed,West
