PolicyID,CustomerID,PolicyType,StartDate,EndDate,Premium,CoverageLevel,State
POL-AAA-0116,CUST00031,Auto,2023-08-01,2024-08-01,529.2376024536873,Basic,FL
POL-AAA-0034,CUST00055,Auto,2023-04-27,2024-04-28,736.1135993505527,Standard,TX
POL-AAA-0113,CUST00110,Auto,2023-07-30,2024-07-30,760.8479597325279,Basic,TX
POL-AAA-0000,CUST00021,Auto,2023-06-11,2024-06-11,1170.316461852433,Basic,FL
POL-AAA-0057,CUST00114,Life,2023-10-01,2024-10-01,518.9625438211226,Basic,FL
POL-AAA-0005,CUST00016,Health,2023-03-25,2024-03-25,979.052650111403,Standard,TX
POL-AAA-0110,CUST00057,Health,2023-04-21,2024-04-20,1183.902017201629,Basic,FL
POL-AAA-0023,CUST00071,Auto,2023-04-05,2024-04-05,500.0,Standard,FL
POL-AAA-0017,CUST00103,Health,2023-04-17,2024-04-17,939.9488517741789,Standard,TX
POL-AAA-0047,CUST00019,Auto,2023-02-07,2024-02-08,1084.186463000222,Standard,TX
POL-AAA-0074,CUST00102,Auto,2023-04-10,2024-04-10,762.9418627220971,Standard,FL
POL-AAA-0093,CUST00119,Auto,2023-04-05,2024-04-05,1128.184226714352,Basic,TX
POL-AAA-0032,CUST00047,Auto,2023-03-18,2024-03-18,846.4222649100556,Standard,NY
POL-AAA-0070,CUST00039,Health,2023-06-13,2024-06-13,500.0,Basic,FL
POL-AAA-0097,CUST00052,Health,2023-02-11,2024-02-11,1028.380634123412,Standard,NY
POL-AAA-0081,CUST00029,Auto,2023-05-01,2024-05-01,681.6962202176635,Standard,TX
POL-AAA-0112,CUST00117,Auto,2023-04-23,2024-04-23,1117.735239282492,Basic,TX
POL-AAA-0083,CUST00068,Health,2023-01-01,2024-01-01,1028.245780846819,Basic,NY
POL-AAA-0041,CUST00044,Life,2023-04-27,2024-04-27,500.0,Standard,NY
POL-AAA-0002,CUST00078,Life,2023-04-10,2024-04-10,671.383462297822,Basic,FL
POL-AAA-0030,CUST00087,Auto,2023-06-21,2024-06-22,1135.79426229292,Premium,FL
POL-AAA-0115,CUST00085,Auto,2023-05-17,2024-05-17,709.2749918235307,Premium,TX
POL-AAA-0092,CUST00061,Auto,2023-01-01,2024-01-01,813.7427558446791,Basic,TX
