claim_id,policy_holder_id,claim_amount,incident_severity,claim_age_days,num_previous_claims,witness_present,police_report_available,is_fraud
sdv-id-laPclK,sdv-id-YnJMYU,798.298307985564,Total Loss,163,3,True,True,False
sdv-id-ZtBvvx,sdv-id-xjMOzD,603.8553985370859,Total Loss,73,2,True,True,False
sdv-id-kgLkVN,sdv-id-mlddtK,323.25235259606325,Minor,345,4,False,True,False
sdv-id-GFQDhF,sdv-id-FtAKdD,2294.0822316668737,Major,306,2,True,True,False
sdv-id-RADAef,sdv-id-dKDWdH,1617.3457497142094,Major,271,4,True,False,True
sdv-id-UieBuh,sdv-id-tmKxmn,323.25235259606325,Major,175,4,True,True,False
sdv-id-VtRIZX,sdv-id-rThGOO,2110.3893570118053,Major,212,2,True,False,True
sdv-id-jdREID,sdv-id-VgNwtD,2532.6919314163715,Total Loss,5,1,True,True,False
sdv-id-WlTRov,sdv-id-nLIyuB,2687.7735894950624,Minor,247,2,False,True,False
sdv-id-MyrYKO,sdv-id-gfvBcU,1986.8436118079244,Total Loss,167,4,False,False,False
sdv-id-XbxpzL,sdv-id-HTrBnk,2825.851346015914,Major,5,2,True,False,True
sdv-id-HnoLJl,sdv-id-BORbpN,3096.8961573320835,Major,246,2,True,True,False
sdv-id-GkwQYP,sdv-id-hthzKl,1483.137448267405,Major,258,3,True,True,False
sdv-id-StgpEO,sdv-id-DmxdDe,1075.348227789465,Total Loss,269,3,False,False,False
sdv-id-CNHokF,sdv-id-trAWny,1595.4216014764543,Total Loss,82,3,True,True,False
sdv-id-PHnMZl,sdv-id-aXPhcf,2577.0882526305804,Total Loss,240,2,False,True,False
sdv-id-QpTcWd,sdv-id-qGwJaU,824.39051800631,Total Loss,17,2,True,False,False
sdv-id-MdsDag,sdv-id-zPuQKC,2517.6797567586696,Total Loss,110,3,False,True,True
sdv-id-OuZMwz,sdv-id-cGBXMi,4014.9471250181746,Major,161,3,True,False,False
sdv-id-OmQlRt,sdv-id-tUdWuY,2422.6091477721297,Total Loss,230,2,True,False,False
sdv-id-QstqLT,sdv-id-BDmNbx,1071.5129965556687,Minor,173,2,False,False,False
sdv-id-JxPOfw,sdv-id-IgWgRu,2638.4827867080708,Major,204,2,False,False,True
sdv-id-PfmjhI,sdv-id-ilZqge,910.5767727994604,Minor,241,3,False,True,False
sdv-id-wglAOl,sdv-id-VpbERK,2373.0227861180383,Major,198,2,False,True,True
sdv-id-BttVFr,sdv-id-PaaTZp,1083.2546450049738,Major,12,4,True,True,False
sdv-id-AHTkTr,sdv-id-hYLzYl,1458.9563683864883,Minor,5,2,True,False,False
sdv-id-OlhNaM,sdv-id-proYjq,1497.7121979534188,Total Loss,261,2,False,True,False
sdv-id-RsOqpg,sdv-id-NuepPH,1582.8409083180363,Minor,92,3,False,False,False
sdv-id-QOayUA,sdv-id-lIFJLc,1532.5947636097933,Major,118,3,False,True,True
sdv-id-FSZxrT,sdv-id-EDygkr,1036.042749670616,Major,5,1,True,True,False
sdv-id-XUfGaH,sdv-id-XiPhaT,2794.945789446941,Total Loss,178,1,False,True,False
sdv-id-VUVsnE,sdv-id-KIEjXO,2876.1219882847336,Major,223,3,True,True,False
sdv-id-hrHufD,sdv-id-DLgImi,1995.4015350709112,Minor,163,0,False,True,False
sdv-id-XXclHu,sdv-id-EkTmBf,1321.2036003914677,Minor,5,2,True,False,False
sdv-id-EVHvFf,sdv-id-yzLQCg,995.3666547340554,Minor,193,3,False,True,False
sdv-id-HQopWh,sdv-id-XDpZHt,3256.9418286506707,Major,5,0,True,False,False
sdv-id-MPlVZL,sdv-id-wRLCfO,2016.2352673930577,Major,122,3,True,True,False
sdv-id-ZJWwkP,sdv-id-PuciGo,1661.2013907742087,Major,233,3,True,True,False
sdv-id-TcClxr,sdv-id-IGZHLF,404.04482948180885,Total Loss,187,3,True,True,False
sdv-id-azbMWv,sdv-id-tlOHfI,323.25235259606325,Minor,66,4,False,False,True
sdv-id-SptcZv,sdv-id-gKAgQD,1675.3745520136144,Major,345,4,False,True,False
sdv-id-ZduLls,sdv-id-CYXrgg,2061.369183673454,Minor,312,2,False,False,True
sdv-id-ENaUwG,sdv-id-IEIhBs,1444.599041832958,Minor,205,3,False,False,False
sdv-id-ZHsovQ,sdv-id-FoYUbK,3788.9993469309175,Major,103,3,True,True,True
sdv-id-jROgfU,sdv-id-OUcdLV,1173.7913711717201,Minor,229,2,False,False,False
sdv-id-xSlYzJ,sdv-id-xfaiFC,1706.7158451678647,Minor,335,1,False,False,False
sdv-id-CtlKrz,sdv-id-bJKbgb,1111.5833383031204,Total Loss,5,3,True,True,False
sdv-id-KpOIty,sdv-id-BsIBPO,2731.379498543388,Total Loss,250,1,False,False,False
sdv-id-wtXWKd,sdv-id-XHafzO,1064.326969062301,Total Loss,255,2,False,True,False
sdv-id-bfDKLM,sdv-id-Podzdr,2776.444312989172,Total Loss,265,1,False,True,True
sdv-id-ooKpwO,sdv-id-yeSqJl,3351.903156436821,Major,70,1,False,True,False
sdv-id-GLTLuB,sdv-id-oJLyYx,1547.5405414259944,Minor,204,1,True,False,False
sdv-id-wVvkFz,sdv-id-zxNEzx,1981.8509169650106,Major,85,3,True,False,False
sdv-id-KczSDQ,sdv-id-pYQvMJ,2604.0387971338837,Total Loss,345,2,False,True,False
sdv-id-pCQwqu,sdv-id-LRbiOT,450.2654638256263,Major,112,4,True,False,False
sdv-id-YxqFVu,sdv-id-XFBWkT,3036.4565600072983,Major,147,2,True,False,False
sdv-id-IuajSb,sdv-id-gTRFKu,3198.08829533245,Minor,235,1,False,True,False
sdv-id-oYWxjo,sdv-id-oiTfJe,323.25235259606325,Minor,199,4,False,True,False
sdv-id-QUbmgW,sdv-id-HyoYwe,3087.2075370814205,Major,185,2,True,True,False
sdv-id-QnYHxS,sdv-id-whDLCY,2344.9803833392134,Major,65,3,True,False,True
sdv-id-vEoPWu,sdv-id-uOdfnd,2489.8374233900413,Minor,49,1,False,False,False
sdv-id-wLBbRM,sdv-id-rzcpvu,2403.6417588023974,Minor,345,1,False,False,False
sdv-id-ikhbTG,sdv-id-kIMEXk,2889.3251964505375,Total Loss,5,1,True,False,False
sdv-id-dIwWOJ,sdv-id-FkemEE,729.4081954416204,Minor,192,4,True,False,False
sdv-id-AglIww,sdv-id-NRdNkx,1044.7524681159994,Minor,202,2,False,True,False
sdv-id-ekXqnX,sdv-id-NzqfjP,998.2691554377385,Major,112,4,True,False,False
sdv-id-adzknS,sdv-id-HJaKDW,323.25235259606325,Total Loss,173,4,False,False,False
sdv-id-xGFxxX,sdv-id-PICDVq,582.9668463976059,Minor,73,3,False,True,False
sdv-id-BSXvPP,sdv-id-txjbFm,882.6013470848774,Total Loss,216,4,False,True,False
sdv-id-dAucFR,sdv-id-rXmkiB,2831.9569315710473,Major,5,1,True,False,True
